timestamp,px,py,pz,vx,vy,vz,q0,q1,q2,q3
2026-08-09 07:48:26+00:00,898.2832626591,225.598431391,-6767.427107641,4.3562822355,-6.2518535877,0.3743986285,0.0451284865,-0.050746061,-0.460304218,0.885160033
2026-08-09 07:48:36+00:00,941.7894530214,163.066961815,-6763.2610956604,4.3448386811,-6.25427093,0.458791294,0.042561248,-0.055701467,-0.460532821,0.8848702775
2026-08-09 07:48:46+00:00,985.1785077744,100.5152020545,-6758.2514168147,4.3328543395,-6.2559103774,0.5431292183,0.0400046565,-0.060617774,-0.4607606205,0.8845477735
2026-08-09 07:48:56+00:00,1028.4450222898,37.9509354522,-6752.3986711597,4.3203306463,-6.2567716833,0.627402013,0.0374327185,-0.0655340455,-0.4609724085,0.884199366
2026-08-09 07:49:06+00:00,1071.5836000452,-24.6180432551,-6745.7035638588,4.3072691032,-6.2568546941,0.7115992847,0.034860941,-0.07046325,-0.4611816205,0.8838162465
2026-08-09 07:49:16+00:00,1114.5888845382,-87.1839659277,-6738.1668991765,4.2936712799,-6.2561593433,0.7957106858,0.0322707525,-0.075447467,-0.4613564695,0.883411844
2026-08-09 07:49:26+00:00,1157.4555171162,-149.7390460158,-6729.7895885205,4.2795388054,-6.2546856632,0.87972585,0.0296901945,-0.080351271,-0.4615428535,0.882972457
2026-08-09 07:49:36+00:00,1200.1781492196,-212.2754883613,-6720.5726485156,4.2648733747,-6.2524337793,0.9636344092,0.0271098105,-0.0853005815,-0.461699373,0.8825092395
2026-08-09 07:49:46+00:00,1242.7514743251,-274.7855270162,-6710.5171934589,4.2496767496,-6.2494039037,1.0474260446,0.0245140195,-0.090277873,-0.461821366,0.8820260735
2026-08-09 07:49:56+00:00,1285.1701855425,-337.2613805937,-6699.6244452961,4.2339507512,-6.2455963479,1.1310904223,0.021935909,-0.095158134,-0.461965633,0.8815052465
2026-08-09 07:50:06+00:00,1327.4289880531,-399.6952618945,-6687.8957311973,4.2176972667,-6.2410115167,1.2146172096,0.019380931,-0.1001033375,-0.4620714325,0.8809617995
2026-08-09 07:50:16+00:00,1369.5226310558,-462.079415525,-6675.3324744731,4.2009182483,-6.2356499011,1.2979961269,0.0167962425,-0.104987853,-0.4621861305,0.880385948
2026-08-09 07:50:26+00:00,1411.4458651673,-524.4060736392,-6661.9362064862,4.1836157081,-6.229512092,1.3812168826,0.0142263455,-0.1099016125,-0.4622574775,0.87979388
2026-08-09 07:50:36+00:00,1453.1934550446,-586.6674653822,-6647.7085637299,4.1657917233,-6.2225987736,1.46426919,0.011626985,-0.114820898,-0.4623430845,0.8791586015
2026-08-09 07:50:46+00:00,1494.7602113069,-648.8558542819,-6632.6512772019,4.1474484356,-6.2149107158,1.5471428187,0.0090593585,-0.1197016775,-0.46239114,0.878512305
